# Time-averaged data for fix fN
# TimeStep v_NAr v_NAr2
200000 15 225
205000 21 441
210000 17 289
215000 19 361
220000 15 225
225000 18 324
230000 17 289
235000 14 196
240000 16 256
245000 18 324
250000 17 289
255000 24 576
260000 15 225
265000 17 289
270000 16 256
275000 13 169
280000 17 289
285000 17 289
290000 17 289
295000 17 289
300000 19 361
305000 18 324
310000 13 169
315000 17 289
320000 16 256
325000 14 196
330000 17 289
335000 16 256
340000 15 225
345000 18 324
350000 21 441
355000 24 576
360000 15 225
365000 12 144
370000 14 196
375000 16 256
380000 18 324
385000 19 361
390000 16 256
395000 18 324
400000 20 400
405000 20 400
410000 17 289
415000 18 324
420000 17 289
425000 22 484
430000 20 400
435000 18 324
440000 18 324
445000 17 289
450000 15 225
455000 14 196
460000 21 441
465000 13 169
470000 19 361
475000 17 289
480000 22 484
485000 19 361
490000 18 324
495000 16 256
500000 22 484
505000 10 100
510000 15 225
515000 19 361
520000 21 441
525000 16 256
530000 14 196
535000 16 256
540000 13 169
545000 16 256
550000 16 256
555000 19 361
560000 16 256
565000 18 324
570000 16 256
575000 17 289
580000 14 196
585000 14 196
590000 17 289
595000 20 400
600000 20 400
605000 16 256
610000 20 400
615000 19 361
620000 19 361
625000 20 400
630000 13 169
635000 22 484
640000 22 484
645000 17 289
650000 21 441
655000 16 256
660000 13 169
665000 15 225
670000 18 324
675000 20 400
680000 16 256
685000 17 289
690000 18 324
695000 22 484
700000 14 196
705000 15 225
710000 21 441
715000 18 324
720000 17 289
725000 18 324
730000 19 361
735000 12 144
740000 13 169
745000 22 484
750000 18 324
755000 15 225
760000 18 324
765000 17 289
770000 20 400
775000 18 324
780000 16 256
785000 14 196
790000 20 400
795000 18 324
800000 18 324
805000 16 256
810000 13 169
815000 18 324
820000 16 256
825000 15 225
830000 17 289
835000 17 289
840000 14 196
845000 14 196
850000 20 400
855000 23 529
860000 20 400
865000 23 529
870000 17 289
875000 21 441
880000 22 484
885000 25 625
890000 24 576
895000 20 400
900000 18 324
905000 16 256
910000 15 225
915000 19 361
920000 14 196
925000 17 289
930000 14 196
935000 24 576
940000 19 361
945000 12 144
950000 15 225
955000 21 441
960000 21 441
965000 27 729
970000 20 400
975000 17 289
980000 13 169
985000 18 324
990000 17 289
995000 21 441
1000000 18 324
