#mu	PbyP0	Navg	Uptake[mmol/g]
-9.00	3.1139922213e+00	2031.26	20.6247122738
-9.05	2.9127207220e+00	2028.04	20.5920175063
-9.10	2.7244583164e+00	2014.04	20.4498663430
-9.15	2.5483641674e+00	2014.23	20.4517955374
-9.20	2.3836517853e+00	2006.17	20.3699570820
-9.25	2.2295855146e+00	2005.5	20.3631541334
-9.30	2.0854772486e+00	1999.14	20.2985768907
-9.35	1.9506833562e+00	1987.17	20.1770376462
-9.40	1.8246018069e+00	1976.04	20.0640274714
-9.45	1.7066694824e+00	1985.27	20.1577457026
-9.50	1.5963596610e+00	1973.91	20.0424001873
-9.55	1.4931796659e+00	1974.56	20.0490000627
-9.60	1.3966686637e+00	1962.53	19.9268515989
-9.65	1.3063956071e+00	1955.42	19.8546591152
-9.70	1.2219573094e+00	1938.65	19.6843823290
-9.75	1.1429766433e+00	1929.24	19.5888364400
-9.80	1.0691008574e+00	1791.53	18.1905766765
-9.85	1.0000000000e+00	1591.75	16.1620795771
-9.90	9.3536544571e-01	1296.78	13.1670561043
-9.95	8.7490851704e-01	1202.14	12.2061142408
-10.00	8.1835919500e-01	1143.45	11.6101962572
-10.05	7.6546491318e-01	1070.1	10.8654256984
-10.10	7.1598942970e-01	1027.45	10.4323723333
-10.15	6.6971177203e-01	981.553	9.9663500519
-10.20	6.2642525015e-01	957.497	9.7220937389
-10.25	5.8593653331e-01	924.267	9.3846877993
-10.30	5.4806478664e-01	890.559	9.0424284128
-10.35	5.1264086344e-01	868.366	8.8170883581
-10.40	4.7950654972e-01	840.329	8.5324103465
-10.45	4.4851385760e-01	814.714	8.2723244860
-10.50	4.1952436432e-01	796.901	8.0914574381
-10.55	3.9240859402e-01	778.963	7.9093211834
-10.60	3.6704543945e-01	767.261	7.7905031182
-10.65	3.4332162107e-01	747.919	7.5941111326
-10.70	3.2113118111e-01	726.497	7.3765995455
-10.75	3.0037501036e-01	712.199	7.2314225932
-10.80	2.8096040544e-01	694.72	7.0539468659
-10.85	2.6280065486e-01	681.081	6.9154611720
-10.90	2.4581465167e-01	670.913	6.8122188128
-10.95	2.2992653122e-01	648.907	6.5887774915
-11.00	2.1506533236e-01	636.019	6.4579171921
-11.05	2.0116468046e-01	619.863	6.2938747497
-11.10	1.8816249100e-01	607.429	6.1676242095
-11.15	1.7600069226e-01	591.174	6.0025765553
-11.20	1.6462496596e-01	584.609	5.9359178134
-11.25	1.5398450466e-01	568.081	5.7680982116
-11.30	1.4403178484e-01	555.012	5.6354001007
-11.35	1.3472235462e-01	541.41	5.4972900919
-11.40	1.2601463528e-01	528.236	5.3635258473
-11.45	1.1786973549e-01	512.286	5.2015750578
-11.50	1.1025127768e-01	501.236	5.0893771754
-11.55	1.0312523548e-01	485.497	4.9295688069
-11.60	9.6459781853e-02	470.422	4.7765024651
-11.65	9.0225146846e-02	462.043	4.6914249939
-11.70	8.4393484694e-02	444.478	4.5130760523
-11.75	7.8938749427e-02	432.894	4.3954561184
-11.80	7.3836578541e-02	418.77	4.2520459020
-11.85	6.9064184197e-02	403.54	4.0974057437
-11.90	6.4600251435e-02	395.702	4.0178213996
-11.95	6.0424842976e-02	376.186	3.8196626781
-12.00	5.6519310183e-02	361.913	3.6747395671
-12.05	5.2866209761e-02	356.87	3.6235346874
-12.10	4.9449225856e-02	340.957	3.4619595831
-12.15	4.6253097183e-02	325.211	3.3020801391
-12.20	4.3263548862e-02	310.857	3.1563345821
-12.25	4.0467228665e-02	301.565	3.0619868244
-12.30	3.7851647377e-02	286.733	2.9113878206
-12.35	3.5405123019e-02	276.012	2.8025304905
-12.40	3.3116728674e-02	266.807	2.7090661007
-12.45	3.0976243676e-02	252.621	2.5650263577
-12.50	2.8974107973e-02	241.994	2.4571234711
-12.55	2.7101379418e-02	227.863	2.3136421792
-12.60	2.5349693839e-02	220.752	2.2414395419
-12.65	2.3711227676e-02	215.447	2.1875744047
-12.70	2.2178663044e-02	201.46	2.0455552390
-12.75	2.0745155044e-02	195.391	1.9839327097
-12.80	1.9404301194e-02	183.534	1.8635408281
-12.85	1.8150112835e-02	177	1.7971968495
-12.90	1.6976988381e-02	167.342	1.6991328542
-12.95	1.5879688304e-02	162.379	1.6487402668
-13.00	1.4853311729e-02	155.217	1.5760197931
-13.05	1.3893274545e-02	147.938	1.5021113419
-13.10	1.2995288937e-02	140.019	1.4217045518
-13.15	1.2155344229e-02	135.733	1.3781859885
-13.20	1.1369688973e-02	129.652	1.3164416154
-13.25	1.0634814194e-02	122.509	1.2439140612
-13.30	9.9474377183e-03	117.72	1.1952882097
-13.35	9.3044895151e-03	113.242	1.1498201448
-13.40	8.7030979824e-03	108.863	1.1053572917
-13.45	8.1405771234e-03	105.534	1.0715557758
-13.50	7.6144145494e-03	99.354	1.0088061909
-13.55	7.1222602589e-03	95.9193	0.9739314337
-13.60	6.6619161415e-03	93.4037	0.9483889004
-13.65	6.2313261610e-03	88	0.8935215975
-13.70	5.8285671720e-03	84.6894	0.8599069088
-13.75	5.4518403307e-03	82.0932	0.8335459910
-13.80	5.0994630609e-03	79.1863	0.8040303327
-13.85	4.7698615389e-03	76.2857	0.7745786424
-13.90	4.4615636643e-03	73.1304	0.7425408163
-13.95	4.1731924854e-03	71.4534	0.7255131377
-14.00	3.9034600492e-03	67.2112	0.6824393045
-14.05	3.6511616487e-03	64.559	0.6555097820
-14.10	3.4151704429e-03	63.118	0.6408783658
-14.15	3.1944324235e-03	62.6957	0.6365904775
-14.20	2.9879617076e-03	59.4783	0.6039221094
-14.25	2.7948361345e-03	57.0311	0.5790740861
-14.30	2.6141931466e-03	55.528	0.5638121280
-14.35	2.4452259377e-03	53	0.5381436894
-14.40	2.2871798491e-03	51.1739	0.5196021009
-14.45	2.1393489990e-03	49.7764	0.5054123687
-14.50	2.0010731300e-03	48.9627	0.4971503400
-14.55	1.8717346601e-03	47.0745	0.4779782096
-14.60	1.7507559246e-03	45.4845	0.4618338989
-14.65	1.6375965958e-03	44.3106	0.4499145238
