n p/p0
0.992285406 0.007226771
1.60564346 0.011668181
1.983215502 0.015223995
2.216652167 0.017880789
3.688896678 0.047722777
4.522837026 0.075176332
4.999267987 0.094002011
5.275473681 0.105407446
5.435653499 0.11215678
6.615093549 0.174752494
7.292364046 0.208203967
7.682148901 0.226076955
7.910268972 0.235630685
8.970353402 0.288135945
9.63165089 0.306330968
10.03701134 0.313563356
10.286124 0.316233571
11.36686151 0.342492909
12.04302675 0.350959769
12.46371195 0.353240856
12.72347575 0.354059363
13.78258465 0.373663294
14.45056072 0.379634375
14.92783934 0.368041086
15.14115622 0.380305283
16.46783752 0.416829515
16.9491886 0.418882492
17.2446283 0.420116964
17.97153211 0.486362417
18.29668589 0.533929794
18.43354501 0.561973748
18.72630049 0.674256908
18.85246367 0.721569338
19.03598779 0.807619996
19.11170922 0.842292521
19.22679761 0.901037225
19.36165285 0.945491587
19.52891903 0.975387247
19.72558957 0.993689618
19.94085398 1.005148725
20.16908609 1.012220096
20.40485903 1.016527325
20.63842856 1.020700373
20.87183789 1.024175676
21.11274072 1.025302801
21.34306471 1.028684178
21.58556567 1.028711013
21.82674063 1.029314831
22.05791434 1.031797191
22.30095504 1.031528828
22.54383828 1.031354391
22.77129901 1.033742823
23.01655825 1.032333917
23.25228473 1.033179261
23.48553735 1.03413195
23.72001747 1.034735767
23.96900753 1.032937734
24.19631135 1.035326167
24.43069466 1.035876311
24.68138238 1.033823333
24.91194301 1.035124895
25.14646821 1.035688456
25.39572148 1.033608643
25.63130494 1.034628422
25.85796114 1.036614309
26.09153209 1.036815583
26.32854401 1.036372783
26.56415593 1.036386201
26.79850139 1.037016855
27.03525845 1.036708237
27.27046754 1.036614309
27.50864345 1.036439873
27.74098523 1.0372718
27.97761487 1.037030272
28.21621758 1.036708237
28.44810919 1.037848781
28.69077607 1.036372783
28.93526409 1.035232239
29.16498562 1.036909509
29.40450752 1.036560637
29.63224537 1.038841725
29.87613806 1.037298636
30.11804593 1.036547218
30.35206197 1.037285218
30.59090609 1.037821945
30.82578295 1.038304998
