#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
1.0000 1.11774655e-07 -2.05618856e-07 -2.20104761e-07 -3.14006753e-07 -2.21134461e-08 1.16332996e-07 -6.27955715e-07 -5.33736165e-07 5.95618110e-01 -1.72280707e-01 -5.64812304e-01 -4.93678061e-01 -4.56905009e-02 2.83840020e-01 -6.35152962e-01 -3.97003443e-01
1.0100 1.11709790e-07 -1.63517738e-07 -2.51193183e-07 -3.73865063e-07 2.15731855e-08 1.51411685e-07 -6.76866194e-07 -5.03881323e-07 5.95298222e-01 -1.36985497e-01 -6.44584092e-01 -5.87788117e-01 4.45941394e-02 3.69432140e-01 -7.74059484e-01 -3.60033204e-01
1.0200 1.13443506e-07 -8.67745297e-08 -2.81130837e-07 -4.29480609e-07 7.16823064e-08 1.82008736e-07 -6.83942470e-07 -4.30251428e-07 6.04547585e-01 -7.26885094e-02 -7.21405204e-01 -6.75230220e-01 1.48136964e-01 4.44092655e-01 -8.64776349e-01 -2.72546729e-01
1.0300 1.17828631e-07 7.75120837e-09 -3.07897744e-07 -4.76105175e-07 1.20069302e-07 2.05563473e-07 -6.58423079e-07 -3.32790303e-07 6.27904079e-01 6.48950826e-03 -7.90094322e-01 -7.48541300e-01 2.48110578e-01 5.01575295e-01 -9.04242035e-01 -1.54556162e-01
1.0400 1.24634669e-07 1.04654088e-07 -3.30029673e-07 -5.12129312e-07 1.60996958e-07 2.22244263e-07 -6.12870228e-07 -2.29629006e-07 6.64138698e-01 8.76481812e-02 -8.46894042e-01 -8.05190524e-01 3.32663079e-01 5.42290274e-01 -9.00297687e-01 -2.53443339e-02
1.0500 1.32558044e-07 1.92798606e-07 -3.45946368e-07 -5.37341435e-07 1.91643738e-07 2.33568802e-07 -5.57931152e-07 -1.32718612e-07 7.06310644e-01 1.61464344e-01 -8.87747379e-01 -8.44842480e-01 3.95967421e-01 5.69937909e-01 -8.64814871e-01 1.01090459e-01
1.0600 1.39617765e-07 2.65209088e-07 -3.53713450e-07 -5.51307116e-07 2.11381886e-07 2.40877443e-07 -5.00193712e-07 -4.79343837e-08 7.43874136e-01 2.22098619e-01 -9.07687677e-01 -8.66810152e-01 4.36729302e-01 5.87784424e-01 -8.08525074e-01 2.15988652e-01
1.0700 1.43792524e-07 3.17056620e-07 -3.51402359e-07 -5.52676660e-07 2.20411915e-07 2.44341515e-07 -4.43229875e-07 2.15235550e-08 7.66070217e-01 2.65508768e-01 -9.01763261e-01 -8.68967727e-01 4.55365585e-01 5.96243624e-01 -7.39152003e-01 3.12457206e-01
1.0800 1.43680158e-07 3.43572033e-07 -3.37891224e-07 -5.39691829e-07 2.18562531e-07 2.42876436e-07 -3.90330862e-07 7.11081047e-08 7.65437278e-01 2.87701823e-01 -8.67093403e-01 -8.48548605e-01 4.51524792e-01 5.92666295e-01 -6.62502907e-01 3.81688180e-01
1.0900 1.38961778e-07 3.39535147e-07 -3.13710212e-07 -5.11555080e-07 2.04911688e-07 2.34901217e-07 -3.46768367e-07 9.30445377e-08 7.40281385e-01 2.84306874e-01 -8.05038014e-01 -8.04298919e-01 4.23304219e-01 5.73194337e-01 -5.84748675e-01 4.11749881e-01
1.1000 1.30525749e-07 3.00972025e-07 -2.81480289e-07 -4.69905089e-07 1.78438202e-07 2.19519919e-07 -3.19887603e-07 7.80705181e-08 6.95335658e-01 2.51997177e-01 -7.22323550e-01 -7.38797386e-01 3.68596164e-01 5.35643752e-01 -5.13788101e-01 3.90451815e-01
1.1100 1.20222856e-07 2.28354065e-07 -2.45645874e-07 -4.19576669e-07 1.39378899e-07 1.97537191e-07 -3.16645621e-07 2.02704695e-08 6.40456325e-01 1.91169739e-01 -6.30356640e-01 -6.59649364e-01 2.87891641e-01 4.81982026e-01 -4.58379940e-01 3.11493726e-01
1.1200 1.10342735e-07 1.29584814e-07 -2.11493411e-07 -3.68124806e-07 9.05810129e-08 1.71810555e-07 -3.39690668e-07 -7.72990998e-08 5.87835069e-01 1.08446553e-01 -5.42705149e-01 -5.78737393e-01 1.87074144e-01 4.19186592e-01 -4.25160920e-01 1.81099816e-01
1.1300 1.02984128e-07 2.08710126e-08 -1.83755490e-07 -3.24124517e-07 3.80733341e-08 1.46735429e-07 -3.84024866e-07 -1.99216103e-07 5.48646430e-01 1.74033206e-02 -4.71515701e-01 -5.09547004e-01 7.85992966e-02 3.57986968e-01 -4.15012954e-01 2.15733102e-02
1.1400 9.95137020e-08 -7.56805006e-08 -1.65294040e-07 -2.94794881e-07 -9.63453520e-09 1.27027264e-07 -4.36255721e-07 -3.18862992e-07 5.30166891e-01 -6.34441541e-02 -4.24134257e-01 -4.63430269e-01 -1.99531096e-02 3.09892017e-01 -4.20841789e-01 -1.30902882e-01
1.1500 1.00267293e-07 -1.37521590e-07 -1.56353905e-07 -2.83815171e-07 -4.34931624e-08 1.16258252e-07 -4.77423374e-07 -4.04658284e-07 5.34184601e-01 -1.15212522e-01 -4.01190426e-01 -4.46171902e-01 -8.98891156e-02 2.83618850e-01 -4.28390249e-01 -2.34660514e-01
1.1600 1.04561568e-07 -1.48539154e-07 -1.54677331e-07 -2.90173814e-07 -5.65191405e-08 1.15710118e-07 -4.88828732e-07 -4.29637754e-07 5.57061574e-01 -1.24410032e-01 -3.96891109e-01 -4.56179752e-01 -1.16783895e-01 2.82293582e-01 -4.20419319e-01 -2.54909632e-01
1.1700 1.10984406e-07 -1.04870648e-07 -1.56448797e-07 -3.08527508e-07 -4.61513538e-08 1.23984518e-07 -4.58862547e-07 -3.81029383e-07 5.91279486e-01 -8.78064883e-02 -4.01444914e-01 -4.85050003e-01 -9.53491459e-02 3.02501224e-01 -3.83021920e-01 -1.75869842e-01
1.1800 1.17851639e-07 -1.73124163e-08 -1.57724452e-07 -3.30991155e-07 -1.54538578e-08 1.37522037e-07 -3.88176386e-07 -2.66108207e-07 6.27870979e-01 -1.44490390e-02 -4.04730199e-01 -5.20382168e-01 -3.19175247e-02 3.35552906e-01 -3.11690427e-01 -8.05504656e-03
1.1900 1.23679977e-07 9.09251493e-08 -1.55815701e-07 -3.49746248e-07 2.73715226e-08 1.51837036e-07 -2.90956822e-07 -1.11748264e-07 6.58937067e-01 7.62193064e-02 -3.99845556e-01 -5.49880787e-01 5.65648649e-02 3.70499858e-01 -2.14569969e-01 2.12494754e-01
1.2000 1.27538502e-07 1.90694733e-07 -1.50115104e-07 -3.59550320e-07 7.11109764e-08 1.63012247e-07 -1.91432189e-07 4.26910347e-08 6.79518212e-01 1.59785451e-01 -3.85229387e-01 -5.65301394e-01 1.46930523e-01 3.97781005e-01 -1.11227117e-01 4.33484410e-01
1.2100 1.29194646e-07 2.55607593e-07 -1.42068201e-07 -3.59267753e-07 1.04661991e-07 1.68912031e-07 -1.16533714e-07 1.57040308e-07 6.88371666e-01 2.14149211e-01 -3.64588051e-01 -5.64857522e-01 2.16243025e-01 4.12183759e-01 -2.69246972e-02 6.01502087e-01
1.2200 1.29043402e-07 2.70037752e-07 -1.34323952e-07 -3.51904563e-07 1.20146393e-07 1.69693199e-07 -8.71473619e-08 2.02692230e-07 6.87595181e-01 2.26226515e-01 -3.44716426e-01 -5.53275401e-01 2.48228008e-01 4.14090499e-01 1.58298694e-02 6.78148377e-01
1.2300 1.27875107e-07 2.33686230e-07 -1.29412333e-07 -3.43177270e-07 1.14998098e-07 1.67465152e-07 -1.11028267e-07 1.71434983e-07 6.81391671e-01 1.95770936e-01 -3.32105151e-01 -5.39543691e-01 2.37585798e-01 4.08649074e-01 5.51376488e-03 6.51748637e-01
1.2400 1.26577103e-07 1.61129492e-07 -1.28478985e-07 -3.39171945e-07 9.23642502e-08 1.65269004e-07 -1.79944334e-07 7.76889194e-08 6.74481971e-01 1.34994185e-01 -3.29694161e-01 -5.33232734e-01 1.90819635e-01 4.03281457e-01 -5.34507394e-02 5.40650353e-01
1.2500 1.25868711e-07 7.65306314e-08 -1.30584647e-07 -3.43960928e-07 5.97405543e-08 1.65787664e-07 -2.72146232e-07 -4.66180136e-08 6.70694786e-01 6.41355580e-02 -3.35075150e-01 -5.40747224e-01 1.23416062e-01 4.04535913e-01 -1.40992029e-01 3.86959946e-01
1.2600 1.26141067e-07 5.37961402e-09 -1.32860425e-07 -3.58032485e-07 2.63582215e-08 1.70278036e-07 -3.59372229e-07 -1.62735971e-07 6.72114441e-01 4.54377501e-03 -3.40889753e-01 -5.62856992e-01 5.44465331e-02 4.15481177e-01 -2.27088530e-01 2.42839181e-01
1.2700 1.27427390e-07 -3.38664213e-08 -1.31481827e-07 -3.78067018e-07 2.37621367e-10 1.78109740e-07 -4.15987876e-07 -2.37640514e-07 6.78922382e-01 -2.83241524e-02 -3.37328298e-01 -5.94344907e-01 4.80710206e-04 4.34580697e-01 -2.81074976e-01 1.53986431e-01
1.2800 1.29483222e-07 -3.54045071e-08 -1.23109435e-07 -3.98089986e-07 -1.41116892e-08 1.87049931e-07 -4.27120705e-07 -2.54182463e-07 6.89823523e-01 -2.96100769e-02 -3.15825718e-01 -6.25819224e-01 -2.91647627e-02 4.56387419e-01 -2.81431496e-01 1.45791161e-01
1.2900 1.31925526e-07 -7.16575382e-09 -1.06260791e-07 -4.11536494e-07 -1.66417930e-08 1.94148230e-07 -3.93037513e-07 -2.15531075e-07 7.02785469e-01 -5.95814203e-03 -2.72580891e-01 -6.46959315e-01 -3.43903282e-02 4.73702973e-01 -2.22712879e-01 2.16599766e-01
1.3000 1.34372058e-07 3.28116543e-08 -8.20945177e-08 -4.13456002e-07 -1.11688371e-08 1.96858321e-07 -3.28366807e-07 -1.42677323e-07 7.15779120e-01 2.75236779e-02 -2.10568009e-01 -6.49981732e-01 -2.30789403e-02 4.80314323e-01 -1.17246943e-01 3.39988440e-01
1.3100 1.36536688e-07 6.32478398e-08 -5.42967970e-08 -4.02071674e-07 -3.56750359e-09 1.93961695e-07 -2.56583943e-07 -6.61897523e-08 7.27284967e-01 5.30136962e-02 -1.39245035e-01 -6.32091781e-01 -7.36624034e-03 4.73247753e-01 8.96184769e-03 4.74843361e-01
1.3200 1.38263227e-07 6.72078147e-08 -2.80833675e-08 -3.79180207e-07 5.18649139e-10 1.85954833e-07 -2.01792533e-07 -1.53190516e-08 7.36472583e-01 5.63300346e-02 -7.19930613e-02 -5.96112272e-01 1.08921788e-03 4.53713673e-01 1.24697285e-01 5.79500176e-01
1.3300 1.39507711e-07 3.77745725e-08 -8.64752745e-09 -3.49322508e-07 -2.37540830e-09 1.74780415e-07 -1.80687752e-07 -8.28274523e-09 7.43106337e-01 3.16811261e-02 -2.21345944e-02 -5.49180002e-01 -4.87136775e-03 4.26450962e-01 2.03472867e-01 6.25052462e-01
1.3400 1.40296386e-07 -2.00176800e-08 4.19228948e-10 -3.18102631e-07 -1.25637144e-08 1.63038231e-07 -1.97404696e-07 -4.69301798e-08 7.47322379e-01 -1.67160622e-02 1.11815801e-03 -5.00103306e-01 -2.58983591e-02 3.97801858e-01 2.31621169e-01 6.03524668e-01
1.3500 1.40688897e-07 -9.14190574e-08 -1.79852072e-09 -2.90317737e-07 -2.74465258e-08 1.53004364e-07 -2.42846419e-07 -1.17288581e-07 7.49433742e-01 -7.65089151e-02 -4.58104257e-03 -4.56422546e-01 -5.66237112e-02 3.73319095e-01 2.11921239e-01 5.28616622e-01
1.3600 1.40765027e-07 -1.57338522e-07 -1.33207434e-08 -2.68588255e-07 -4.27479870e-08 1.45847348e-07 -2.98482493e-07 -1.95383133e-07 7.49860834e-01 -1.31710448e-01 -3.41501226e-02 -4.22256917e-01 -8.82174502e-02 3.55853622e-01 1.61743346e-01 4.29379518e-01
1.3700 1.40635563e-07 -2.00824785e-07 -2.99560402e-08 -2.52947689e-07 -5.42171172e-08 1.41339245e-07 -3.43092952e-07 -2.55970824e-07 7.49190152e-01 -1.68126593e-01 -7.68342006e-02 -3.97659763e-01 -1.11900980e-01 3.44849795e-01 1.06569595e-01 3.39518410e-01
1.3800 1.40462364e-07 -2.12394384e-07 -4.66288579e-08 -2.41463132e-07 -5.91492806e-08 1.38157360e-07 -3.60024010e-07 -2.81015931e-07 7.48281538e-01 -1.77817579e-01 -1.19610872e-01 -3.79594007e-01 -1.22089397e-01 3.37081522e-01 7.12590800e-02 2.86251206e-01
1.3900 1.40466296e-07 -1.92519053e-07 -5.88827733e-08 -2.31562564e-07 -5.72181402e-08 1.34638799e-07 -3.42498094e-07 -2.65077435e-07 7.48310360e-01 -1.61180137e-01 -1.51046974e-01 -3.64018458e-01 -1.18109451e-01 3.28493095e-01 7.20647917e-02 2.82448435e-01
1.4000 1.40906816e-07 -1.50690558e-07 -6.40576469e-08 -2.21491484e-07 -5.04075617e-08 1.29674690e-07 -2.95332874e-07 -2.16065745e-07 7.50658376e-01 -1.26163630e-01 -1.64318422e-01 -3.48177214e-01 -1.04058496e-01 3.16380606e-01 1.11999109e-01 3.24321219e-01
1.4100 1.42030808e-07 -1.01690085e-07 -6.17798774e-08 -2.11298428e-07 -4.21734607e-08 1.23378749e-07 -2.32737582e-07 -1.51532294e-07 7.56640772e-01 -8.51455370e-02 -1.58467651e-01 -3.32148352e-01 -8.70730723e-02 3.01022699e-01 1.80879231e-01 3.94828858e-01
1.4200 1.44004343e-07 -6.05694822e-08 -5.36645066e-08 -2.02956114e-07 -3.62193115e-08 1.17253200e-07 -1.73185760e-07 -9.21518720e-08 7.67142333e-01 -5.07287298e-02 -1.37639018e-01 -3.19033830e-01 -7.47998815e-02 2.86084943e-01 2.59740755e-01 4.71025816e-01
1.4300 1.46851986e-07 -3.81269822e-08 -4.24073761e-08 -1.99575990e-07 -3.53536152e-08 1.13768106e-07 -1.33258362e-07 -5.48438718e-08 7.82294128e-01 -3.19532997e-02 -1.08749480e-01 -3.13724410e-01 -7.30364003e-02 2.77593193e-01 3.27866938e-01 5.32423730e-01
1.4400 1.50429173e-07 -3.82946477e-08 -3.06443570e-08 -2.04031919e-07 -4.08023645e-08 1.15494201e-07 -1.22541751e-07 -4.78499144e-08 8.01326508e-01 -3.21095588e-02 -7.85618766e-02 -3.20736075e-01 -8.43115454e-02 2.81817828e-01 3.69918998e-01 5.67425280e-01
1.4500 1.54443125e-07 -5.80442154e-08 -2.00064474e-08 -2.17538809e-07 -5.21320577e-08 1.24100592e-07 -1.41146347e-07 -6.91778125e-08 8.22680798e-01 -4.86599330e-02 -5.12608772e-02 -3.41976001e-01 -1.07727445e-01 3.02828623e-01 3.80783987e-01 5.75885165e-01
1.4600 1.58520682e-07 -8.94951421e-08 -1.06943303e-08 -2.38751168e-07 -6.76959445e-08 1.39584814e-07 -1.80419959e-07 -1.08531089e-07 8.44370790e-01 -7.50046867e-02 -2.73617158e-02 -3.75326146e-01 -1.39881722e-01 3.40616790e-01 3.66678242e-01 5.67413309e-01
