#Q	S(Q)
0.737199 -0.3062986
0.846325 -0.1373122
0.999906 0.16427184
1.15154 0.07347384
1.30132 -0.0468694
1.4507 0.4570447
1.59981 0.9871844
1.75005 1.8086436
1.88861 2.2860546
2.05039 2.0689201
2.2003 1.491487
2.34975 1.1238439
2.49962 1.0115822
2.64999 1.1026725
2.80006 0.8563265
2.94998 0.57005343
3.10011 0.57853161
3.25001 0.8842541
3.39989 1.2962602
3.55023 1.4482229
3.70076 1.7183266
3.85004 1.4586532
3.99995 1.1140759
4.15038 0.9475796
4.30057 0.9760474
4.45065 0.8680518
4.6004 1.211693
4.75012 1.0175392
4.90027 0.9069943
5.05062 0.9769983
5.20059 1.0271185
5.35027 1.0004526
5.50049 1.1194964
5.65025 1.2065389
5.80011 0.9925642
5.95065 1.1700902
6.10083 1.0204067
6.25066 0.9468766
6.40073 0.8078972
6.55109 0.9722919
6.69867 0.8965344
6.84164 0.8900335
6.95849 0.55701833
