#Q	S(Q) 
0.71157 -0.885216
0.749856 -0.363448
0.798698 -0.286728
0.849689 -0.0062
0.899738 -0.072976
0.949971 0.0039728
1.00007 0.0993008
1.05003 0.1271104
1.09998 0.1355184
1.14998 -0.039072
1.20002 0.1421048
1.25005 -0.00708
1.30006 -0.021544
1.35003 0.1106312
1.40003 0.0738184
1.45002 0.2662904
1.50008 0.2171032
1.55013 0.3976616
1.60009 0.7580612
1.65006 0.97562
1.70008 1.319628
1.7501 1.928248
1.8001 1.978776
1.85008 2.410664
1.90007 2.346144
1.95009 1.968392
2.00008 2.424552
2.0501 2.25596
2.1001 1.718208
2.15006 1.61896
2.2001 1.4665872
2.25013 1.1572992
2.30011 1.1539328
2.35011 1.030716
2.40015 1.0485032
2.45017 1.1170056
2.50015 1.1066352
2.55016 1.1271248
2.60019 1.1918664
2.65022 1.0688808
2.7002 1.193116
2.74939 0.8925456
2.79933 0.9969208
2.84924 0.74490912
2.89915 0.4297008
2.94908 0.5179744
2.98726 0.84603776
